FIPS,State,County,# Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,% Fair/Poor,95% CI - Low,95% CI - High,Quartile,Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,# Low Birthweight Births,# Live Births,% LBW,95% CI - Low,95% CI - High,Quartile,% Smokers,95% CI - Low,95% CI - High,Quartile,% Obese,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,PCP Rate,PCP Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,MHP Rate,MHP Ratio,Quartile,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Quartile,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Quartile,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Quartile,Cohort Size,Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty - Black,% Children in Poverty - Hispanic,% Children in Poverty - White,80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Association Rate,Quartile,# Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Average Daily PM2.5,Quartile,Presence of violation,Quartile,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Quartile,% Drive Alone,95% CI - Low,95% CI - High,Quartile,% Drive Alone - Black,% Drive Alone - Hispanic,% Drive Alone - White,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
01001,Alabama,Autauga,830,9158,8251,10065,1,18,17,18,1,4.2,4.0,4.4,1,4.2,4.0,4.3,1,,400,4551,9,8,10,1,17,17,18,1,34,29,39,2,6.9,2,29,24,33,2,71,1,15,14,16,4,16,49,33,25,40,3,220,398,2,462,14251,32,30,35,1,5225,11,10,12,1,23,42,2408:1,2,17,31,3256:1,2,7,13,7907:1,3,4709,59,52,65,2,711,84,77,91,3,453,62.7,55.4,70.0,2,706,90,3,8617,14440,59.7,53.9,65.4,1,1327,25308,5.2,1,19,14,23,1,43,,11,97896,22695,4.3,1,3495,13888,25,20,31,1,76,13.7,2,145,266,2,211,76,66,87,2,10.8,3,No,1,2955,15,13,17,2,87,86,89,4,,,83,21101,43,38,47,3
01003,Alabama,Baldwin,2573,7394,6947,7840,1,16,16,17,1,3.7,3.6,3.9,1,4.0,3.8,4.1,1,,1316,15248,9,8,9,1,18,17,18,1,27,25,31,1,7.5,1,22,20,25,1,72,1,15,15,16,4,51,149,34,30,38,3,667,341,1,1528,40190,38,36,40,1,25892,16,15,18,3,148,74,1352:1,1,97,48,2100:1,1,170,83,1198:1,1,23020,48,45,50,1,2615,83,80,87,3,2186,66.0,62.6,69.4,1,2236,85,4,29788,47367,62.9,59.3,66.5,1,4791,87316,5.5,1,20,15,24,1,50,12,14,99839,22065,4.5,1,11615,43366,27,23,30,1,231,11.5,2,415,217,1,698,71,66,77,2,9.6,1,Yes,3,10775,15,13,16,2,85,83,86,2,85,61,85,71535,38,35,40,3
01005,Alabama,Barbour,413,8573,7292,9854,1,25,24,26,4,4.8,4.6,5.0,3,4.8,4.6,4.9,4,,244,2091,12,10,13,3,23,22,23,4,44,38,50,4,4.9,4,32,27,37,3,45,3,12,11,12,2,10,26,38,28,48,4,166,613,3,316,5354,59,53,66,4,2942,15,14,17,3,11,41,2444:1,3,10,38,2649:1,1,2,8,13245:1,4,3132,74,64,83,3,525,89,81,97,1,330,63.0,54.5,71.6,2,245,86,4,2839,7230,39.3,34.3,44.2,4,771,8625,8.9,4,45,36,54,4,69,52,12,71011,12766,5.6,3,3227,5716,56,50,63,4,22,8.2,4,85,329,2,91,68,54,83,1,10.1,2,Yes,3,1490,16,14,19,3,84,82,86,2,82,,,7090,36,31,40,3
01007,Alabama,Bibb,407,11766,10034,13498,4,20,19,20,2,4.4,4.2,4.5,1,4.4,4.2,4.5,1,,211,1763,12,11,14,4,20,19,21,2,40,34,47,4,7.3,2,34,28,40,4,33,3,14,14,15,4,10,30,33,24,43,3,100,444,2,224,4716,47,41,54,3,2323,14,12,15,1,9,40,2501:1,3,4,18,5646:1,3,,,,2,1858,77,65,90,4,333,82,72,92,4,199,61.3,50.4,72.2,2,262,85,4,3280,6531,50.2,42.1,58.3,3,561,8490,6.6,3,29,22,36,2,61,,18,78138,18287,4.3,1,1443,4880,30,21,38,1,23,10.2,3,33,147,1,92,81,66,100,3,10.5,3,No,1,970,14,9,18,2,83,78,89,2,,,88,6778,47,39,54,4
01009,Alabama,Blount,906,9333,8430,10236,2,19,18,20,1,4.5,4.3,4.6,2,4.5,4.3,4.7,2,,354,4817,7,7,8,1,21,20,22,3,35,29,40,2,8.3,1,28,23,34,1,26,4,14,13,15,3,10,49,20,13,28,1,72,124,1,546,12630,43,40,47,2,7861,16,15,18,4,11,19,5247:1,4,11,19,5243:1,3,4,7,14418:1,4,4515,63,56,70,2,705,88,81,95,1,433,59.6,52.3,66.9,3,720,91,2,7279,14213,51.2,46.4,56.0,2,1316,24352,5.4,1,22,17,27,1,20,57,21,83484,20679,4.0,1,3740,13659,27,22,33,1,49,8.5,4,123,212,1,279,97,85,108,4,11.3,4,No,1,2435,12,10,13,1,85,82,87,2,,73,82,18624,60,55,65,4
01011,Alabama,Bullock,180,10858,8576,13139,3,28,27,29,4,5.0,4.7,5.2,4,4.6,4.4,4.8,2,,139,1035,13,11,16,4,23,22,24,4,43,35,52,4,3.8,4,32,25,39,3,23,4,11,11,12,1,13,21,62,53,69,4,100,940,4,174,2237,78,66,89,4,1319,17,15,19,4,3,28,3588:1,4,2,19,5348:1,3,1,9,10696:1,4,1111,76,62,91,3,212,86,73,98,2,110,60.0,45.5,74.5,2,121,88,3,1011,3007,33.6,24.4,42.8,4,371,4773,7.8,4,51,40,62,4,46,,,63721,10544,6.0,4,1634,2230,73,62,85,4,11,10.2,3,32,302,2,54,102,76,133,4,9.8,2,No,1,675,18,12,24,4,75,65,84,1,79,,74,2884,47,34,61,4
01013,Alabama,Butler,401,12427,10593,14262,4,27,26,27,4,5.2,5.0,5.5,4,5.0,4.8,5.2,4,,203,1822,11,10,13,3,22,21,22,4,36,30,42,3,6.0,3,34,29,40,4,46,3,11,11,12,1,11,30,37,27,46,3,163,804,4,239,4283,56,49,63,4,2388,14,13,16,2,9,44,2255:1,2,5,25,4031:1,3,5,25,4031:1,3,2987,86,76,96,4,539,81,73,88,4,271,62.4,53.0,71.8,2,235,83,4,2081,4809,43.3,37.3,49.2,4,690,9142,7.5,3,36,28,44,4,57,,19,68308,14026,4.9,2,2430,4709,52,44,59,4,24,11.8,2,106,523,4,93,91,74,112,3,9.4,1,Yes,3,1355,16,13,19,3,84,81,88,2,87,,87,6543,33,28,38,2
01015,Alabama,Calhoun,2133,10717,10042,11392,3,22,21,23,3,4.9,4.7,5.1,3,4.7,4.5,4.8,3,,861,9712,9,8,9,2,20,20,21,3,32,29,36,1,6.1,3,31,28,34,3,59,2,15,14,15,4,13,60,22,15,29,1,845,724,3,1247,27941,45,42,47,2,13543,14,13,16,2,77,66,1505:1,1,64,55,1807:1,1,103,89,1123:1,1,15735,71,67,75,3,2488,81,78,85,4,1559,56.9,53.2,60.6,4,1316,92,2,15616,28930,54.0,50.5,57.5,2,3214,46051,7.0,3,31,26,36,2,59,40,21,79864,16369,4.9,2,10233,25838,40,36,43,3,170,14.7,1,673,574,4,449,77,70,84,2,11.6,4,No,1,6725,15,14,16,2,85,84,87,3,87,85,87,39533,30,27,32,2
01017,Alabama,Chambers,700,11410,10132,12689,3,24,24,25,3,4.8,4.6,4.9,3,4.7,4.6,4.9,4,,323,2826,11,10,13,3,21,20,22,3,40,34,46,4,5.6,4,32,27,37,3,61,2,12,11,12,1,13,43,30,22,38,2,282,826,4,456,7609,60,54,65,4,4122,15,13,17,2,14,41,2434:1,3,9,26,3791:1,3,,,,2,4943,56,50,63,1,888,82,76,88,3,512,57.2,50.7,63.8,4,337,85,4,3620,8047,45.0,39.7,50.3,3,908,15100,6.0,2,34,26,42,3,51,69,23,71126,14919,4.8,2,3829,7315,52,46,59,4,63,18.5,1,180,527,4,118,69,57,82,1,10.4,3,No,1,2640,19,17,22,4,85,82,88,3,87,,86,11520,35,30,39,2
01019,Alabama,Cherokee,544,12534,10843,14224,4,19,19,20,1,4.5,4.3,4.7,2,4.5,4.3,4.7,2,,135,1605,8,7,10,1,18,18,19,1,34,28,40,2,7.9,1,34,27,40,4,33,3,13,12,14,3,9,46,20,12,28,1,96,366,1,249,5089,49,43,55,3,2988,15,13,16,2,7,27,3720:1,4,4,15,6465:1,4,6,23,4310:1,3,3131,79,68,89,4,554,89,81,96,1,303,63.4,54.4,72.3,2,280,88,3,2939,5583,52.6,45.6,59.7,2,609,11197,5.4,1,30,23,38,2,41,,29,76254,15777,4.8,2,1665,5271,32,24,39,1,26,10.0,3,100,384,3,137,105,88,123,4,10.8,3,No,1,1790,15,12,19,3,84,81,87,2,,,86,8285,45,40,51,4
